f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold
0.9737025090415764,0.97375,0.97375,0.9739121623633932,0.97375,0.96508645953484,0.965,0.0707439878879609,FULL_11,LDA_XGBoost,2028,5
0.9774670165326588,0.9775,0.9775,0.9775123765409406,0.9775,0.9700262719006342,0.97,0.0737995760046775,FULL_11,LogisticRegression,2026,1
0.9737498359364746,0.97375,0.97375,0.9737555938898472,0.97375,0.9650020104229492,0.965,0.0641913552492272,FULL_11,LogisticRegression,2026,2
0.984996655978052,0.985,0.985,0.9854341108452952,0.985,0.9801490756754172,0.98,0.048154289698689,FULL_11,LogisticRegression,2026,3
0.9699426720267476,0.97,0.97,0.9702236102098204,0.97,0.9601140203102696,0.96,0.0622704155732023,FULL_11,LogisticRegression,2026,4
0.9712411926152384,0.97125,0.97125,0.9715213636704964,0.97125,0.961764851840416,0.9616666666666668,0.0679216315122154,FULL_11,LogisticRegression,2026,5
0.9761901519322266,0.97625,0.97625,0.9767985469478008,0.97625,0.9685573381213228,0.9683333333333334,0.0543949704669798,FULL_11,LogisticRegression,2027,1
0.9762494862319544,0.97625,0.97625,0.9767888307155324,0.97625,0.9685169654164684,0.9683333333333334,0.0556190443056159,FULL_11,LogisticRegression,2027,2
0.9774749295308096,0.9775,0.9775,0.9774559676491912,0.9775,0.9700020208396484,0.97,0.0666006294546697,FULL_11,LogisticRegression,2027,3
0.9687482420886177,0.96875,0.96875,0.968799229826711,0.96875,0.9583513025887204,0.9583333333333334,0.0788775532403185,FULL_11,LogisticRegression,2027,4
0.9762746418284516,0.97625,0.97625,0.976317229712921,0.97625,0.9683393854734056,0.9683333333333334,0.0645675201919864,FULL_11,LogisticRegression,2027,5
0.9775159700598296,0.9775,0.9775,0.9776567944250872,0.9775,0.970042440285164,0.97,0.0639883503971449,FULL_11,LogisticRegression,2028,1
0.9850119238017984,0.985,0.985,0.9850661790316962,0.985,0.9800142919793045,0.98,0.0542153466619834,FULL_11,LogisticRegression,2028,2
0.9774909963985594,0.9775,0.9775,0.9778645833333334,0.9775,0.9701293592057496,0.97,0.0522332539253652,FULL_11,LogisticRegression,2028,3
0.9762462884825752,0.97625,0.97625,0.9763914946841776,0.97625,0.9683837713016116,0.9683333333333334,0.0642783869892672,FULL_11,LogisticRegression,2028,4
0.9623685869296056,0.9625,0.9625,0.96273224235379,0.9625,0.9501662936533576,0.95,0.0891884611366021,FULL_11,LogisticRegression,2028,5
0.9725146047782148,0.9725,0.9725,0.9725706579371456,0.9725,0.9633473822517652,0.9633333333333334,0.0908249978192937,FULL_11,MLP,2026,1
0.9662810152270114,0.96625,0.96625,0.9663555982463918,0.96625,0.9550139273879956,0.955,0.0834060516106511,FULL_11,MLP,2026,2
0.9824976402773884,0.9825,0.9825,0.9827031673120824,0.9825,0.976735854573524,0.9766666666666668,0.0707498202996651,FULL_11,MLP,2026,3
0.9660808903734616,0.96625,0.96625,0.966492638906432,0.96625,0.9551930481030108,0.955,0.0780367029986358,FULL_11,MLP,2026,4
0.9637181470571397,0.96375,0.96375,0.9637163352576164,0.96375,0.9516765800160074,0.9516666666666668,0.0918349416966858,FULL_11,MLP,2026,5
0.973659942137628,0.97375,0.97375,0.9750213857406596,0.97375,0.9654848756191904,0.965,0.0747784231418415,FULL_11,MLP,2027,1
0.9737041392943552,0.97375,0.97375,0.9754787687371534,0.97375,0.9656177906728132,0.965,0.0695953902647292,FULL_11,MLP,2027,2
0.9662276626273512,0.96625,0.96625,0.9662232398612997,0.96625,0.9550059688059576,0.955,0.0832484122469152,FULL_11,MLP,2027,3
0.9649568495328088,0.965,0.965,0.9649904462557024,0.965,0.95335915382674,0.9533333333333334,0.0969200406023193,FULL_11,MLP,2027,4
0.9624565153727592,0.9625,0.9625,0.9631807219136684,0.9625,0.9502613578150412,0.95,0.0947707668613704,FULL_11,MLP,2027,5
0.9713220063685658,0.97125,0.97125,0.9715055094713384,0.97125,0.961704734899205,0.9616666666666668,0.0773730299115706,FULL_11,MLP,2028,1
0.9737838153547478,0.97375,0.97375,0.9740711688829126,0.97375,0.96508645953484,0.965,0.0756985098600412,FULL_11,MLP,2028,2
0.9585226929306409,0.95875,0.95875,0.9598345934479074,0.95875,0.94551031932687,0.945,0.1058489383018013,FULL_11,MLP,2028,3
0.97371258934027,0.97375,0.97375,0.9738137199369906,0.97375,0.9650462429070688,0.965,0.0845038559288876,FULL_11,MLP,2028,4
0.958501183662217,0.95875,0.95875,0.9595258950770088,0.95875,0.945423565854563,0.945,0.1026076828753384,FULL_11,MLP,2028,5
0.9699779924838292,0.97,0.97,0.9703844681942408,0.97,0.9601460333146944,0.96,0.0962095529071662,FULL_11,PCA_MLP,2026,1
0.9712666311557656,0.97125,0.97125,0.971397550325352,0.97125,0.961704734899205,0.9616666666666668,0.0841585521698303,FULL_11,PCA_MLP,2026,2
0.9787310956982408,0.97875,0.97875,0.9796647195547584,0.97875,0.9719886912648088,0.9716666666666668,0.0646144697644021,FULL_11,PCA_MLP,2026,3
